188;10439;1;7893249174129;0.000;0.000;0.000;HAVAIANAS;7893249174129;ROBERVAL GONCALVES DE FARIAS;02642133000197
358;778;2;000001;185.000;30.000;0.000;FEIJAO PEROLA CARIOCA 1KG;7898253130055;PRODUTOS PEROLA COMERCIO E EMPACOTAMENTO LTDA.;25153054000118
359;4779;2;000004;209.000;30.000;0.000;FEIJAO PRETO GRAO DE MINAS  1KG;7898253130109;PRODUTOS PEROLA COMERCIO E EMPACOTAMENTO LTDA.;25153054000118
361;2115;3;34444;2.630;0.000;0.000;ESCOVA MULTIUSO SKOVA LIMPEZA DELICADA;7896001002159;FOCUS DISTRIBUIDORA LTDA;10960053000108
362;7394;3;34401;4.990;0.000;0.000;ESCOVA MULTIUSO NOVICA ADAPT;7896001001145;FOCUS DISTRIBUIDORA LTDA;10960053000108
363;7863;3;34428;3.800;0.000;0.000;ESCOVA BETTANIN;7896001002500;FOCUS DISTRIBUIDORA LTDA;10960053000108
367;1059;3;299133;2.700;0.000;0.000;CHA DR. OETKER ERVA DOCE 20G;7891048038048;FOCUS DISTRIBUIDORA LTDA;10960053000108
368;2625;4;000006104588;1.370;0.000;0.000;TEMP. SAZON CALDO BACON 37,5G;7891132006410;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
369;8419;4;000006104630;1.370;0.000;0.000;TEMP. SAZON PARA GALINHA 37,5G;7891132010011;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
370;3755;4;000006104586;1.370;0.000;0.000;TEMP. SAZON PARA CARNE 37,5G;7891132006373;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
371;1487;4;000006104590;1.370;0.000;0.000;TEMP. SAZON PARA COSTELA 37,5G;7891132006397;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
372;1434;4;000006104592;1.370;0.000;0.000;TEMP. SAZON PARA GALINHA 37,5G;7891132006366;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
373;3756;4;000006104593;1.370;0.000;0.000;TEMP. SAZON PARA LEGUMES 37,5G;7891132006380;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
374;1489;4;000006104594;1.370;0.000;0.000;TEMP. SAZON PARA PICANHA 37,5G;7891132006427;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
375;886;4;000006000210;2.930;0.000;0.000;TEMPERO SAZON LEGUMES 60G;7891132019403;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
376;882;4;000006000026;2.930;0.000;0.000;TEMPERO SAZON FEIJAO 60G;7891132019724;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
377;2710;4;000006102017;2.930;0.000;0.000;TEMPERO SAZON SABOR DO NORDESTE 60G;7891132001101;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
378;885;4;000006102070;2.930;0.000;0.000;TEMP. SAZON ALHO 60G;7891132008698;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
379;883;4;000006000018;2.930;0.000;0.000;TEMP. SAZON FRANGO 60G;7891132019274;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
380;884;4;000006000019;2.930;0.000;0.000;TEMP. SAZON CARNES 60G;7891132019281;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
381;2735;4;000007181115;71.710;10.000;0.000;CREME DE AVELA NUTELLA C/ CACAU 140G;7898024395232;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
382;10639;4;000007190828;371.230;24.000;0.000;KINDER JOY MENINAS 20G;0000078940734;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
385;10166;4;000007197404;24.680;14.000;0.000;TIC TAC COCA COLA ;0000078940796;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
386;3166;4;000007130125;24.680;14.000;0.000;PASTILHA TIC TAC LARANJA 16G;0000078600027;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
387;3163;4;000007130124;24.680;14.000;0.000;PASTILHA TIC TAC MENTA 16G;0000078600010;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
388;3167;4;000007130241;24.680;14.000;0.000;PASTILHA TIC TAC MORANGO DUPLA 16G;0000078605831;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
389;8656;4;000019090266;2.810;0.000;0.000;CUP NOODLES NISSIN  BOLONHESA 72G;7891079013120;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
392;10640;4;000019090293;2.810;0.000;0.000;CUP NOODLES NISSIN  CURRY 68G;7891079013427;GRIFOS COMERCIO DE ALIMENTOS LTDA;30354209000114
